
значение показателя за год
;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;
Муниципальный район Сысольский;;;;;;;;;;;;;;;;;;;;
Муниципальный район;;;;;;;;;;;;;;;;;;;;
Муниципальный район Сысольский;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
Число семей, получивших жилые помещения и улучшивших жилищные условия в отчетном году (с 2008 г.), единица;96;65;56;41;74;8;2;22;40;8;12;7;36;25;43;39;
Число семей, состоящих на учете в качестве нуждающихся в жилых помещениях на конец года (с 2008 г.), единица;697;569;482;460;394;374;359;203;181;167;144;114;472;435;475;353;
Сельское поселение;;;;;;;;;;;;;;;;;;;;
Сельские поселения Сысольского района;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
Число семей, получивших жилые помещения и улучшивших жилищные условия в отчетном году (с 2008 г.), единица;96;65;56;41;74;8;2;22;40;8;12;7;36;25;43;39;
Число семей, состоящих на учете в качестве нуждающихся в жилых помещениях на конец года (с 2008 г.), единица;697;569;482;460;394;374;359;203;181;167;144;114;472;435;475;353;
Визинга;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
Число семей, получивших жилые помещения и улучшивших жилищные условия в отчетном году (с 2008 г.), единица;74;35;36;31;64;3;1;18;32;5;6;1;;;42;;
Число семей, состоящих на учете в качестве нуждающихся в жилых помещениях на конец года (с 2008 г.), единица;493;407;369;352;300;283;282;130;115;102;86;57;;;430;;
Визиндор;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
Число семей, получивших жилые помещения и улучшивших жилищные условия в отчетном году (с 2008 г.), единица;;3;5;;1;;0;0;0;0;0;0;;;;;
Число семей, состоящих на учете в качестве нуждающихся в жилых помещениях на конец года (с 2008 г.), единица;35;37;28;28;27;27;16;16;15;15;12;11;;;10;10;
Вотча;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
Число семей, получивших жилые помещения и улучшивших жилищные условия в отчетном году (с 2008 г.), единица;;;;1;;;0;0;0;0;0;0;;;;;
Число семей, состоящих на учете в качестве нуждающихся в жилых помещениях на конец года (с 2008 г.), единица;2;1;1;2;;1;1;1;0;0;0;0;;;;;
Гагшор;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
Число семей, получивших жилые помещения и улучшивших жилищные условия в отчетном году (с 2008 г.), единица;2;2;1;1;2;;1;0;0;1;0;0;;;1;1;
Число семей, состоящих на учете в качестве нуждающихся в жилых помещениях на конец года (с 2008 г.), единица;29;29;26;26;23;22;22;22;21;20;19;19;;;13;13;
Заозерье;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
Число семей, получивших жилые помещения и улучшивших жилищные условия в отчетном году (с 2008 г.), единица;6;5;3;1;2;;0;2;0;1;1;0;;;;;
Число семей, состоящих на учете в качестве нуждающихся в жилых помещениях на конец года (с 2008 г.), единица;10;10;10;7;6;6;6;5;4;4;4;4;;;2;2;
Куниб;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
Число семей, получивших жилые помещения и улучшивших жилищные условия в отчетном году (с 2008 г.), единица;2;7;5;;;1;0;0;6;0;0;0;;;;;
Число семей, состоящих на учете в качестве нуждающихся в жилых помещениях на конец года (с 2008 г.), единица;44;37;19;17;18;17;17;17;17;16;16;16;;;15;13;
Куратово;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
Число семей, получивших жилые помещения и улучшивших жилищные условия в отчетном году (с 2008 г.), единица;4;6;1;2;4;1;0;0;0;0;1;4;;;;;
Число семей, состоящих на учете в качестве нуждающихся в жилых помещениях на конец года (с 2008 г.), единица;34;23;13;10;8;7;6;5;4;5;4;4;;;3;3;
Межадор;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
Число семей, получивших жилые помещения и улучшивших жилищные условия в отчетном году (с 2008 г.), единица;4;2;2;;;;0;2;1;0;2;1;;;;;
Число семей, состоящих на учете в качестве нуждающихся в жилых помещениях на конец года (с 2008 г.), единица;15;13;9;9;7;7;6;4;2;2;2;2;;;1;1;
Палауз;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
Число семей, получивших жилые помещения и улучшивших жилищные условия в отчетном году (с 2008 г.), единица;;;;;;;;;1;;;0;;;;;
Число семей, состоящих на учете в качестве нуждающихся в жилых помещениях на конец года (с 2008 г.), единица;3;;;;;;;;0;;;0;;;;;
Пыёлдино;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
Число семей, получивших жилые помещения и улучшивших жилищные условия в отчетном году (с 2008 г.), единица;1;3;2;2;;3;0;0;0;1;2;1;;;;;
Число семей, состоящих на учете в качестве нуждающихся в жилых помещениях на конец года (с 2008 г.), единица;14;3;3;4;4;3;2;2;2;2;1;1;;;1;1;
Чухлэм;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
Число семей, получивших жилые помещения и улучшивших жилищные условия в отчетном году (с 2008 г.), единица;3;2;1;3;1;;0;0;0;0;0;0;;;;;
Число семей, состоящих на учете в качестве нуждающихся в жилых помещениях на конец года (с 2008 г.), единица;18;9;4;5;1;1;1;1;1;1;0;0;;;;;
Муниципальный район Троицко-Печорский;;;;;;;;;;;;;;;;;;;;
Муниципальный район;;;;;;;;;;;;;;;;;;;;
Муниципальный район Троицко-Печорский;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
Число семей, получивших жилые помещения и улучшивших жилищные условия в отчетном году (с 2008 г.), единица;111;107;92;73;61;74;37;46;186;103;32;39;33;8;7;11;
Число семей, состоящих на учете в качестве нуждающихся в жилых помещениях на конец года (с 2008 г.), единица;728;664;527;328;221;231;228;208;190;109;73;64;84;66;75;92;
Городское поселение;;;;;;;;;;;;;;;;;;;;
Городские поселения Троицко-Печорского района;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
Число семей, получивших жилые помещения и улучшивших жилищные условия в отчетном году (с 2008 г.), единица;37;28;30;15;25;46;6;22;127;;17;18;23;8;7;11;
Число семей, состоящих на учете в качестве нуждающихся в жилых помещениях на конец года (с 2008 г.), единица;560;503;428;242;184;181;180;165;162;;52;47;79;66;75;92;
Троицко-Печорск;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
Число семей, получивших жилые помещения и улучшивших жилищные условия в отчетном году (с 2008 г.), единица;37;28;30;15;25;46;6;22;127;;17;18;;;7;11;
Число семей, состоящих на учете в качестве нуждающихся в жилых помещениях на конец года (с 2008 г.), единица;560;503;428;242;184;181;180;165;162;;52;47;;;75;92;
Сельское поселение;;;;;;;;;;;;;;;;;;;;
Сельские поселения Троицко-Печорского района;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
Число семей, получивших жилые помещения и улучшивших жилищные условия в отчетном году (с 2008 г.), единица;74;79;62;58;36;28;31;24;59;31;15;21;10;;;;
Число семей, состоящих на учете в качестве нуждающихся в жилых помещениях на конец года (с 2008 г.), единица;168;161;99;86;37;50;48;43;28;32;21;17;5;;;;
Приуральский;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
Число семей, получивших жилые помещения и улучшивших жилищные условия в отчетном году (с 2008 г.), единица;4;4;1;2;2;;;;;0;1;0;;;;;
Число семей, состоящих на учете в качестве нуждающихся в жилых помещениях на конец года (с 2008 г.), единица;5;12;12;12;14;;;;;1;0;0;;;;;
Знаменка;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
Число семей, получивших жилые помещения и улучшивших жилищные условия в отчетном году (с 2008 г.), единица;5;10;4;;2;1;3;1;2;2;2;5;;;;;
Число семей, состоящих на учете в качестве нуждающихся в жилых помещениях на конец года (с 2008 г.), единица;;;;;;;0;0;0;0;0;0;;;;;
Комсомольск-на-Печоре;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
Число семей, получивших жилые помещения и улучшивших жилищные условия в отчетном году (с 2008 г.), единица;14;10;28;29;11;10;13;11;22;17;4;3;;;;;
Число семей, состоящих на учете в качестве нуждающихся в жилых помещениях на конец года (с 2008 г.), единица;22;30;13;13;2;12;3;0;0;6;1;0;;;;;
Митрофан-Дикост;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
Число семей, получивших жилые помещения и улучшивших жилищные условия в отчетном году (с 2008 г.), единица;5;9;1;2;3;3;3;0;3;5;0;0;;;;;
Число семей, состоящих на учете в качестве нуждающихся в жилых помещениях на конец года (с 2008 г.), единица;11;;1;1;1;7;5;6;3;2;1;1;;;;;
Мылва;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
Число семей, получивших жилые помещения и улучшивших жилищные условия в отчетном году (с 2008 г.), единица;2;2;5;;1;4;2;2;2;0;0;;;;;;
Число семей, состоящих на учете в качестве нуждающихся в жилых помещениях на конец года (с 2008 г.), единица;28;43;56;44;4;4;4;3;1;1;1;;;;;;
Нижняя Омра;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
Число семей, получивших жилые помещения и улучшивших жилищные условия в отчетном году (с 2008 г.), единица;17;23;13;9;7;5;2;4;26;4;3;9;;;;;
Число семей, состоящих на учете в качестве нуждающихся в жилых помещениях на конец года (с 2008 г.), единица;39;40;4;4;4;15;24;22;20;19;14;12;;;;;
Покча;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
Число семей, получивших жилые помещения и улучшивших жилищные условия в отчетном году (с 2008 г.), единица;10;;;;;;;;;;;;;;;;
Число семей, состоящих на учете в качестве нуждающихся в жилых помещениях на конец года (с 2008 г.), единица;;;;1;1;1;;;;;;;;;;;
Усть-Илыч;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
Число семей, получивших жилые помещения и улучшивших жилищные условия в отчетном году (с 2008 г.), единица;10;1;2;3;3;1;2;0;4;0;0;0;;;;;
Число семей, состоящих на учете в качестве нуждающихся в жилых помещениях на конец года (с 2008 г.), единица;22;22;2;2;2;2;3;3;3;3;4;4;;;;;
Якша;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
Число семей, получивших жилые помещения и улучшивших жилищные условия в отчетном году (с 2008 г.), единица;7;20;8;13;7;4;6;6;0;3;5;4;;;;;
Число семей, состоящих на учете в качестве нуждающихся в жилых помещениях на конец года (с 2008 г.), единица;41;14;11;9;9;9;9;9;1;0;0;0;;;;;
Муниципальный район Удорский;;;;;;;;;;;;;;;;;;;;
Муниципальный район;;;;;;;;;;;;;;;;;;;;
Муниципальный район Удорский;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
Число семей, получивших жилые помещения и улучшивших жилищные условия в отчетном году (с 2008 г.), единица;90;118;117;92;61;96;100;95;103;70;40;43;25;58;43;31;
Число семей, состоящих на учете в качестве нуждающихся в жилых помещениях на конец года (с 2008 г.), единица;778;491;318;256;231;197;233;233;188;206;179;167;155;95;82;90;
Городское поселение;;;;;;;;;;;;;;;;;;;;
Городские поселения Удорского района;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
Число семей, получивших жилые помещения и улучшивших жилищные условия в отчетном году (с 2008 г.), единица;39;45;46;36;23;25;15;13;16;17;17;13;15;22;12;5;
Число семей, состоящих на учете в качестве нуждающихся в жилых помещениях на конец года (с 2008 г.), единица;259;185;123;93;76;63;52;43;39;24;14;12;10;9;9;7;
Благоево;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
Число семей, получивших жилые помещения и улучшивших жилищные условия в отчетном году (с 2008 г.), единица;17;23;19;21;7;13;13;11;14;17;11;10;;;6;4;
Число семей, состоящих на учете в качестве нуждающихся в жилых помещениях на конец года (с 2008 г.), единица;143;114;74;49;49;38;27;22;23;12;8;5;;;5;2;
Междуреченск;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
Число семей, получивших жилые помещения и улучшивших жилищные условия в отчетном году (с 2008 г.), единица;15;5;5;9;8;7;2;2;;;1;;;;4;;
Число семей, состоящих на учете в качестве нуждающихся в жилых помещениях на конец года (с 2008 г.), единица;16;15;10;8;2;1;0;0;;;0;;;;;;
Усогорск;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
Число семей, получивших жилые помещения и улучшивших жилищные условия в отчетном году (с 2008 г.), единица;7;17;22;6;8;5;0;0;2;0;5;3;;;2;1;
Число семей, состоящих на учете в качестве нуждающихся в жилых помещениях на конец года (с 2008 г.), единица;100;56;39;36;25;24;25;21;16;12;6;7;;;4;5;
Сельское поселение;;;;;;;;;;;;;;;;;;;;
Сельские поселения Удорского района;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
Число семей, получивших жилые помещения и улучшивших жилищные условия в отчетном году (с 2008 г.), единица;51;73;71;56;38;71;85;82;87;23;23;17;10;36;31;26;
Число семей, состоящих на учете в качестве нуждающихся в жилых помещениях на конец года (с 2008 г.), единица;519;306;195;163;155;134;181;190;149;92;165;44;145;86;73;83;
Буткан;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
Число семей, получивших жилые помещения и улучшивших жилищные условия в отчетном году (с 2008 г.), единица;1;3;5;1;1;2;;;;;1;;;;;;
Число семей, состоящих на учете в качестве нуждающихся в жилых помещениях на конец года (с 2008 г.), единица;1;11;3;5;3;;;;;;0;;;;;;
Важгорт;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
Число семей, получивших жилые помещения и улучшивших жилищные условия в отчетном году (с 2008 г.), единица;3;4;5;5;3;4;3;2;;;0;;;;;;
Число семей, состоящих на учете в качестве нуждающихся в жилых помещениях на конец года (с 2008 г.), единица;11;32;2;2;;1;0;0;;;0;;;;;;
Вожский;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
Число семей, получивших жилые помещения и улучшивших жилищные условия в отчетном году (с 2008 г.), единица;4;8;12;6;8;18;25;28;13;;2;;;;;;
Число семей, состоящих на учете в качестве нуждающихся в жилых помещениях на конец года (с 2008 г.), единица;40;36;9;20;22;;13;0;0;;0;;;;;;
Глотово;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
Число семей, получивших жилые помещения и улучшивших жилищные условия в отчетном году (с 2008 г.), единица;;1;;;;;;;;;0;;;;;;
Число семей, состоящих на учете в качестве нуждающихся в жилых помещениях на конец года (с 2008 г.), единица;;12;;;;;;;;;1;;;;;;
Ёдва;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
Число семей, получивших жилые помещения и улучшивших жилищные условия в отчетном году (с 2008 г.), единица;11;19;12;2;2;1;39;21;7;5;3;;;;;;
Число семей, состоящих на учете в качестве нуждающихся в жилых помещениях на конец года (с 2008 г.), единица;13;12;1;;1;;0;0;0;0;0;;;;;;
Ёртом (до 1 января 2018г);;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
Число семей, получивших жилые помещения и улучшивших жилищные условия в отчетном году (с 2008 г.), единица;;2;2;;;;;;;;;;;;;;
Кослан;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
Число семей, получивших жилые помещения и улучшивших жилищные условия в отчетном году (с 2008 г.), единица;25;17;28;32;13;38;15;25;66;16;15;16;;;31;26;
Число семей, состоящих на учете в качестве нуждающихся в жилых помещениях на конец года (с 2008 г.), единица;453;139;125;80;90;94;130;155;112;60;140;25;;;72;83;
Большая Пучкома;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
Число семей, получивших жилые помещения и улучшивших жилищные условия в отчетном году (с 2008 г.), единица;;3;;1;;3;1;0;0;0;0;1;;;;;
Число семей, состоящих на учете в качестве нуждающихся в жилых помещениях на конец года (с 2008 г.), единица;;7;7;9;11;6;7;6;6;3;2;0;;;;;
Большая Пысса;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
Число семей, получивших жилые помещения и улучшивших жилищные условия в отчетном году (с 2008 г.), единица;;;;;2;3;0;2;0;0;1;;;;;;
Число семей, состоящих на учете в качестве нуждающихся в жилых помещениях на конец года (с 2008 г.), единица;;;;;3;7;7;10;12;10;3;;;;;;
Чернутьево;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
Число семей, получивших жилые помещения и улучшивших жилищные условия в отчетном году (с 2008 г.), единица;;8;2;2;1;1;0;0;0;0;0;0;;;;;
Число семей, состоящих на учете в качестве нуждающихся в жилых помещениях на конец года (с 2008 г.), единица;;28;29;25;24;26;24;19;19;19;19;19;;;;;
Чим;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
Число семей, получивших жилые помещения и улучшивших жилищные условия в отчетном году (с 2008 г.), единица;7;7;2;7;8;1;2;4;1;2;1;;;;;;
Число семей, состоящих на учете в качестве нуждающихся в жилых помещениях на конец года (с 2008 г.), единица;1;1;1;4;1;;0;0;0;0;0;;;;1;;
Чупрово;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
Число семей, получивших жилые помещения и улучшивших жилищные условия в отчетном году (с 2008 г.), единица;;1;3;;;;;;;;;;;;;;
Число семей, состоящих на учете в качестве нуждающихся в жилых помещениях на конец года (с 2008 г.), единица;;28;18;18;;;;;;;;;;;;;
Муниципальный район Усть-Вымский;;;;;;;;;;;;;;;;;;;;
Муниципальный район;;;;;;;;;;;;;;;;;;;;
Муниципальный район Усть-Вымский;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
Число семей, получивших жилые помещения и улучшивших жилищные условия в отчетном году (с 2008 г.), единица;41;88;37;21;31;46;77;193;49;64;40;60;69;52;46;22;
Число семей, состоящих на учете в качестве нуждающихся в жилых помещениях на конец года (с 2008 г.), единица;1418;1307;1072;973;863;777;690;712;656;625;556;489;449;503;478;470;
Городское поселение;;;;;;;;;;;;;;;;;;;;
Городские поселения Усть-Вымского района;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
Число семей, получивших жилые помещения и улучшивших жилищные условия в отчетном году (с 2008 г.), единица;19;45;13;12;16;37;22;101;13;23;22;22;29;11;7;6;
Число семей, состоящих на учете в качестве нуждающихся в жилых помещениях на конец года (с 2008 г.), единица;860;784;771;728;643;577;457;410;369;343;296;257;231;202;175;161;
Микунь;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
Число семей, получивших жилые помещения и улучшивших жилищные условия в отчетном году (с 2008 г.), единица;8;1;1;6;13;9;0;81;9;8;5;19;;;2;2;
Число семей, состоящих на учете в качестве нуждающихся в жилых помещениях на конец года (с 2008 г.), единица;251;240;241;196;178;164;149;131;108;104;101;83;;;52;52;
Жешарт;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
Число семей, получивших жилые помещения и улучшивших жилищные условия в отчетном году (с 2008 г.), единица;11;44;12;6;3;28;22;20;4;15;17;3;;;5;4;
Число семей, состоящих на учете в качестве нуждающихся в жилых помещениях на конец года (с 2008 г.), единица;609;544;530;532;465;413;308;279;261;239;195;174;;;123;109;
Сельское поселение;;;;;;;;;;;;;;;;;;;;
Сельские поселения Усть-Вымского района;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
Число семей, получивших жилые помещения и улучшивших жилищные условия в отчетном году (с 2008 г.), единица;22;43;24;9;15;9;55;92;36;18;18;2;40;41;39;16;
Число семей, состоящих на учете в качестве нуждающихся в жилых помещениях на конец года (с 2008 г.), единица;558;523;301;245;220;200;233;302;287;204;260;172;218;301;303;309;
Айкино;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
Число семей, получивших жилые помещения и улучшивших жилищные условия в отчетном году (с 2008 г.), единица;;21;5;4;4;3;6;77;35;4;17;0;;;36;12;
Число семей, состоящих на учете в качестве нуждающихся в жилых помещениях на конец года (с 2008 г.), единица;379;357;170;139;127;118;116;183;170;105;162;85;;;261;269;
Вежайка;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
Число семей, получивших жилые помещения и улучшивших жилищные условия в отчетном году (с 2008 г.), единица;19;4;9;2;6;3;42;0;0;1;1;2;;;1;1;
Число семей, состоящих на учете в качестве нуждающихся в жилых помещениях на конец года (с 2008 г.), единица;20;19;12;9;;;41;53;54;53;52;50;;;25;24;
Гам;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
Число семей, получивших жилые помещения и улучшивших жилищные условия в отчетном году (с 2008 г.), единица;;;;1;;1;1;0;0;0;;;;;;1;
Число семей, состоящих на учете в качестве нуждающихся в жилых помещениях на конец года (с 2008 г.), единица;10;10;10;9;8;6;5;3;1;1;;;;;1;;
Донаёль;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
Число семей, получивших жилые помещения и улучшивших жилищные условия в отчетном году (с 2008 г.), единица;;2;1;;1;;0;0;0;0;0;0;;;2;1;
Число семей, состоящих на учете в качестве нуждающихся в жилых помещениях на конец года (с 2008 г.), единица;25;23;12;12;12;9;9;9;9;9;9;9;;;3;3;
Илья-Шор;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
Число семей, состоящих на учете в качестве нуждающихся в жилых помещениях на конец года (с 2008 г.), единица;11;11;11;11;10;10;;;;;;;;;;;
Кожмудор;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
Число семей, получивших жилые помещения и улучшивших жилищные условия в отчетном году (с 2008 г.), единица;;4;5;1;;;1;1;1;0;0;;;;;;
Число семей, состоящих на учете в качестве нуждающихся в жилых помещениях на конец года (с 2008 г.), единица;21;17;10;4;4;4;3;3;3;1;2;;;;;;
Мадмас;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
Число семей, получивших жилые помещения и улучшивших жилищные условия в отчетном году (с 2008 г.), единица;;2;;;2;1;4;2;;;0;0;;;;;
Число семей, состоящих на учете в качестве нуждающихся в жилых помещениях на конец года (с 2008 г.), единица;10;8;8;2;1;;0;0;;;0;0;;;;;
Межег;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
Число семей, получивших жилые помещения и улучшивших жилищные условия в отчетном году (с 2008 г.), единица;2;4;2;;1;;0;0;0;1;0;0;;;;;
Число семей, состоящих на учете в качестве нуждающихся в жилых помещениях на конец года (с 2008 г.), единица;27;23;19;12;11;10;10;10;11;10;10;10;;;4;4;
Студенец;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
Число семей, получивших жилые помещения и улучшивших жилищные условия в отчетном году (с 2008 г.), единица;;1;1;;;1;1;0;0;12;;;;;;;
Число семей, состоящих на учете в качестве нуждающихся в жилых помещениях на конец года (с 2008 г.), единица;3;8;3;3;2;7;14;14;12;0;;;;;;;
Усть-Вымь;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
Число семей, получивших жилые помещения и улучшивших жилищные условия в отчетном году (с 2008 г.), единица;1;5;1;1;1;;0;12;0;0;0;0;;;;1;
Число семей, состоящих на учете в качестве нуждающихся в жилых помещениях на конец года (с 2008 г.), единица;52;47;46;44;45;36;35;27;27;25;25;18;;;9;9;
Муниципальный район Усть-Куломский;;;;;;;;;;;;;;;;;;;;
Муниципальный район;;;;;;;;;;;;;;;;;;;;
Муниципальный район Усть-Куломский;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
Число семей, получивших жилые помещения и улучшивших жилищные условия в отчетном году (с 2008 г.), единица;12;16;6;22;10;17;29;14;10;9;23;29;39;25;21;16;
Число семей, состоящих на учете в качестве нуждающихся в жилых помещениях на конец года (с 2008 г.), единица;659;647;438;414;370;390;361;340;327;53;227;496;416;373;367;360;
Сельское поселение;;;;;;;;;;;;;;;;;;;;
Сельские поселения Усть-Куломского района;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
Число семей, получивших жилые помещения и улучшивших жилищные условия в отчетном году (с 2008 г.), единица;12;16;6;22;10;17;29;14;10;9;23;29;39;25;21;16;
Число семей, состоящих на учете в качестве нуждающихся в жилых помещениях на конец года (с 2008 г.), единица;659;647;438;414;370;390;361;340;327;53;227;496;416;373;367;360;
Вольдино;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
Число семей, получивших жилые помещения и улучшивших жилищные условия в отчетном году (с 2008 г.), единица;;;;2;;1;1;0;2;2;0;1;;;1;;
Число семей, состоящих на учете в качестве нуждающихся в жилых помещениях на конец года (с 2008 г.), единица;;;10;8;1;5;6;3;1;1;1;0;;;;;
Нижний Воч;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
Число семей, получивших жилые помещения и улучшивших жилищные условия в отчетном году (с 2008 г.), единица;;;;;;;;;;0;0;0;;;;;
Число семей, состоящих на учете в качестве нуждающихся в жилых помещениях на конец года (с 2008 г.), единица;;;2;;;;;;;0;0;0;;;;;
Диасёръя;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
Число семей, получивших жилые помещения и улучшивших жилищные условия в отчетном году (с 2008 г.), единица;;;;;;;;;;0;1;;;;;;
Число семей, состоящих на учете в качестве нуждающихся в жилых помещениях на конец года (с 2008 г.), единица;;;;;;;;;;1;0;;;;;;
Деревянск;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
Число семей, получивших жилые помещения и улучшивших жилищные условия в отчетном году (с 2008 г.), единица;;;1;3;1;;;;;;;;;;;;
Число семей, состоящих на учете в качестве нуждающихся в жилых помещениях на конец года (с 2008 г.), единица;;;3;1;;;;;;;;;;;;;
Дзёль (до 1 января 2020 года);;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
Число семей, получивших жилые помещения и улучшивших жилищные условия в отчетном году (с 2008 г.), единица;;;;;;;;;;;0;;;;;;
Число семей, состоящих на учете в качестве нуждающихся в жилых помещениях на конец года (с 2008 г.), единица;;;;;;;;;;;0;;;;;;
Дон;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
Число семей, получивших жилые помещения и улучшивших жилищные условия в отчетном году (с 2008 г.), единица;;;1;1;;;1;2;;;;;;;;;
Число семей, состоящих на учете в качестве нуждающихся в жилых помещениях на конец года (с 2008 г.), единица;;;1;1;1;1;0;0;;;;;;;;;
Кебанъёль;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
Число семей, получивших жилые помещения и улучшивших жилищные условия в отчетном году (с 2008 г.), единица;;;1;3;3;;0;2;0;0;0;0;;;;;
Число семей, состоящих на учете в качестве нуждающихся в жилых помещениях на конец года (с 2008 г.), единица;;;48;32;31;27;16;1;5;5;8;8;;;2;2;
Керчомъя;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
Число семей, получивших жилые помещения и улучшивших жилищные условия в отчетном году (с 2008 г.), единица;;;;3;;;0;;;0;0;0;;;;;
Число семей, состоящих на учете в качестве нуждающихся в жилых помещениях на конец года (с 2008 г.), единица;;;2;2;1;1;1;;;0;0;0;;;;;
Кужба;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
